Monitoring Period Date,NPDES Permit Number,Facility Name,City,State,ZIP Code,County,Total Facility Design Flow (MGD),Parameter Description,Pollutant Load (kg/period),Average Daily Load (kg/day),Average Concentration (mg/L),% Load from DMRs,% Load from Limits,Max Allowable Load (kg/period),Load Over Limit (Option 1) (kg/period),Load Over Limit (Option 2) (kg/period),Wastewater Flow (MGal/period),Average Daily Flow (MGD),Average Wastewater pH
8/31/17,VAN040076,RIVANNA WATER & SEWER AUTHORITY MOORES CREEK WWTP,CHARLOTTESVILLE,VA,22902-9016,CHARLOTTESVILLE,,"Phosphorus, total (as P)",51.0993925,1.6483675,0.05,100,0,0,0,,270.01,8.71,
8/31/17,VA0075981,COMFORT INN  MONTICELLO STP,CHARLOTTESVILLE,VA,22911,ALBEMARLE COUNTY,0.04,"Solids, total suspended",1.24,0.04,1.509718815,100,0,139.5,0,-138.26,0.217,0.007,7.8
8/31/17,VA0086584,GLENMORE STP,CHARLOTTESVILLE,VA,22902,ALBEMARLE COUNTY,0.381,"Solids, total suspended",31,1,2.81064673,100,0,1333,0,-1302,2.914,0.094,7
8/31/17,VA0025518,RIVANNA WATER & SEWER AUTHORITY MOORES CREEK WWTP,CHARLOTTESVILLE,VA,22902-9016,CHARLOTTESVILLE,15,"Solids, total suspended",,,,100,0,37200,0,,269.7,8.7,7.3
8/31/17,VA0092720,RYDER ENTERPRISES WWTP,CHARLOTTESVILLE,VA,22911,ALBEMARLE ,0.015,"Solids, total suspended",,,0,100,0,52.7,0,,0,0,
9/30/17,VA0075981,COMFORT INN  MONTICELLO STP,CHARLOTTESVILLE,VA,22911,ALBEMARLE COUNTY,0.04,"BOD, carbonaceous, 05 day, 20 C",2.7,0.09,3.963011889,100,0,69,0,-66.3,0.18,0.006,
9/30/17,VA0086584,GLENMORE STP,CHARLOTTESVILLE,VA,22902,ALBEMARLE COUNTY,0.381,"BOD, carbonaceous, 05 day, 20 C",21,0.7,1.868086412,100,0,660,0,-639,2.97,0.099,7.1
9/30/17,VA0025518,RIVANNA WATER & SEWER AUTHORITY MOORES CREEK WWTP,CHARLOTTESVILLE,VA,22902-9016,CHARLOTTESVILLE,15,"BOD, carbonaceous, 05 day, 20 C",2250,75,2.251711301,100,0,17100,0,-14850,264,8.8,7.3
9/30/17,VA0092720,RYDER ENTERPRISES WWTP,CHARLOTTESVILLE,VA,22911,ALBEMARLE ,0.015,"BOD, carbonaceous, 05 day, 20 C",,,0,100,0,17.1,0,,0,0,
9/30/17,VA0075981,COMFORT INN  MONTICELLO STP,CHARLOTTESVILLE,VA,22911,ALBEMARLE COUNTY,0.04,"Chlorine, total residual",,,,100,0,0.0054504,0,,0.18,0.006,7.8
9/30/17,VA0076244,STONE-ROBINSON ELEMENTARY,CHARLOTTESVILLE,VA,22901,ALBEMARLE,0.007,"Chlorine, total residual",0.29523,0.009841,1.3,100,0,0.4542,0,-0.15897,0.06,0.002,7.2
9/30/17,VA0075981,COMFORT INN  MONTICELLO STP,CHARLOTTESVILLE,VA,22911,ALBEMARLE COUNTY,0.04,E. coli,0,0,0,100,0,85.8438,0,0,0.18,0.006,7.8
9/30/17,VA0086584,GLENMORE STP,CHARLOTTESVILLE,VA,22902,ALBEMARLE COUNTY,0.381,E. coli,11.24145,0.374715,1,100,0,1416.4227,0,-1405.18125,2.97,0.099,7.1
9/30/17,VA0025518,RIVANNA WATER & SEWER AUTHORITY MOORES CREEK WWTP,CHARLOTTESVILLE,VA,22902-9016,CHARLOTTESVILLE,15,E. coli,1998.48,66.616,2,100,0,125904.24,0,-123905.76,264,8.8,7.3
9/30/17,VA0092720,RYDER ENTERPRISES WWTP,CHARLOTTESVILLE,VA,22911,ALBEMARLE ,0.015,E. coli,,,,100,0,0,0,,0,0,
9/30/17,VAN040076,RIVANNA WATER & SEWER AUTHORITY MOORES CREEK WWTP,CHARLOTTESVILLE,VA,22902-9016,CHARLOTTESVILLE,,Nitrite plus nitrate total 1 det. (as N),896.25015,29.875005,0.9,100,0,0,0,,263.1,8.77,
9/30/17,VA0075981,COMFORT INN  MONTICELLO STP,CHARLOTTESVILLE,VA,22911,ALBEMARLE COUNTY,0.04,"Nitrogen, ammonia total (as N)",,,,100,0,2.86146,0,,0.18,0.006,
9/30/17,VA0025518,RIVANNA WATER & SEWER AUTHORITY MOORES CREEK WWTP,CHARLOTTESVILLE,VA,22902-9016,CHARLOTTESVILLE,15,"Nitrogen, ammonia total (as N)",99.924,3.3308,0.1,100,0,2198.328,0,-2098.404,264,8.8,
9/30/17,VA0092720,RYDER ENTERPRISES WWTP,CHARLOTTESVILLE,VA,22911,ALBEMARLE ,0.015,"Nitrogen, ammonia total (as N)",,,,100,0,0,0,,0,0,
9/30/17,VA0086584,GLENMORE STP,CHARLOTTESVILLE,VA,22902,ALBEMARLE COUNTY,0.381,"Nitrogen, Kjeldahl, total (as N)",,,,100,0,420,0,,2.97,0.099,7.1
9/30/17,VAN040076,RIVANNA WATER & SEWER AUTHORITY MOORES CREEK WWTP,CHARLOTTESVILLE,VA,22902-9016,CHARLOTTESVILLE,,"Nitrogen, Kjeldahl, total (as N)",348.541725,11.6180575,0.35,100,0,0,0,,263.1,8.77,
9/30/17,VAN040076,RIVANNA WATER & SEWER AUTHORITY MOORES CREEK WWTP,CHARLOTTESVILLE,VA,22902-9016,CHARLOTTESVILLE,,"Nitrogen, total (as N)",1244.791875,41.4930625,1.25,100,0,0,0,,263.1,8.77,
9/30/17,VAN040076,RIVANNA WATER & SEWER AUTHORITY MOORES CREEK WWTP,CHARLOTTESVILLE,VA,22902-9016,CHARLOTTESVILLE,,"Phosphorus, total (as P)",159.33336,5.311112,0.16,100,0,0,0,,263.1,8.77,
9/30/17,VA0075981,COMFORT INN  MONTICELLO STP,CHARLOTTESVILLE,VA,22911,ALBEMARLE COUNTY,0.04,"Solids, total suspended",0.6,0.02,0.880669309,100,0,135,0,-134.4,0.18,0.006,7.8
9/30/17,VA0086584,GLENMORE STP,CHARLOTTESVILLE,VA,22902,ALBEMARLE COUNTY,0.381,"Solids, total suspended",30,1,2.668694875,100,0,1290,0,-1260,2.97,0.099,7.1
9/30/17,VA0025518,RIVANNA WATER & SEWER AUTHORITY MOORES CREEK WWTP,CHARLOTTESVILLE,VA,22902-9016,CHARLOTTESVILLE,15,"Solids, total suspended",150,5,0.150114087,100,0,36000,0,-35850,264,8.8,7.3
9/30/17,VA0092720,RYDER ENTERPRISES WWTP,CHARLOTTESVILLE,VA,22911,ALBEMARLE ,0.015,"Solids, total suspended",,,0,100,0,51,0,,0,0,
10/31/17,VA0075981,COMFORT INN  MONTICELLO STP,CHARLOTTESVILLE,VA,22911,ALBEMARLE COUNTY,0.04,"BOD, carbonaceous, 05 day, 20 C",2.79,0.09,3.396867333,100,0,71.3,0,-68.51,0.217,0.007,
10/31/17,VA0086584,GLENMORE STP,CHARLOTTESVILLE,VA,22902,ALBEMARLE COUNTY,0.381,"BOD, carbonaceous, 05 day, 20 C",6.2,0.2,0.51804077,100,0,682,0,-675.8,3.162,0.102,7.1
10/31/17,VA0025518,RIVANNA WATER & SEWER AUTHORITY MOORES CREEK WWTP,CHARLOTTESVILLE,VA,22902-9016,CHARLOTTESVILLE,15,"BOD, carbonaceous, 05 day, 20 C",,,,100,0,17670,0,,266.6,8.6,7.3
10/31/17,VA0092720,RYDER ENTERPRISES WWTP,CHARLOTTESVILLE,VA,22911,ALBEMARLE ,0.015,"BOD, carbonaceous, 05 day, 20 C",,,0,100,0,17.67,0,,0,0,
10/31/17,VA0075981,COMFORT INN  MONTICELLO STP,CHARLOTTESVILLE,VA,22911,ALBEMARLE COUNTY,0.04,"Chlorine, total residual",,,,100,0,0.00657076,0,,0.217,0.007,7.8
10/31/17,VA0076244,STONE-ROBINSON ELEMENTARY,CHARLOTTESVILLE,VA,22901,ALBEMARLE,0.007,"Chlorine, total residual",0.281604,0.009084,1.2,100,0,0.46934,0,-0.187736,0.062,0.002,6.8
10/31/17,VA0075981,COMFORT INN  MONTICELLO STP,CHARLOTTESVILLE,VA,22911,ALBEMARLE COUNTY,0.04,E. coli,1.64269,0.05299,2,100,0,103.48947,0,-101.84678,0.217,0.007,7.8
10/31/17,VA0086584,GLENMORE STP,CHARLOTTESVILLE,VA,22902,ALBEMARLE COUNTY,0.381,E. coli,23.93634,0.77214,2,100,0,1507.98942,0,-1484.05308,3.162,0.102,7.1
10/31/17,VA0025518,RIVANNA WATER & SEWER AUTHORITY MOORES CREEK WWTP,CHARLOTTESVILLE,VA,22902-9016,CHARLOTTESVILLE,15,E. coli,1009.081,32.551,1,100,0,127144.206,0,-126135.125,266.6,8.6,7.3
10/31/17,VA0092720,RYDER ENTERPRISES WWTP,CHARLOTTESVILLE,VA,22911,ALBEMARLE ,0.015,E. coli,,,,100,0,0,0,,0,0,
10/31/17,VAN040076,RIVANNA WATER & SEWER AUTHORITY MOORES CREEK WWTP,CHARLOTTESVILLE,VA,22902-9016,CHARLOTTESVILLE,,Nitrite plus nitrate total 1 det. (as N),3835.657683,123.730893,3.81,100,0,0,0,,265.98,8.58,
10/31/17,VA0075981,COMFORT INN  MONTICELLO STP,CHARLOTTESVILLE,VA,22911,ALBEMARLE COUNTY,0.04,"Nitrogen, ammonia total (as N)",,,,100,0,3.449649,0,,0.217,0.007,
10/31/17,VA0025518,RIVANNA WATER & SEWER AUTHORITY MOORES CREEK WWTP,CHARLOTTESVILLE,VA,22902-9016,CHARLOTTESVILLE,15,"Nitrogen, ammonia total (as N)",100.9081,3.2551,0.1,100,0,2219.9782,0,-2119.0701,266.6,8.6,
10/31/17,VA0092720,RYDER ENTERPRISES WWTP,CHARLOTTESVILLE,VA,22911,ALBEMARLE ,0.015,"Nitrogen, ammonia total (as N)",,,,100,0,0,0,,0,0,
10/31/17,VA0086584,GLENMORE STP,CHARLOTTESVILLE,VA,22902,ALBEMARLE COUNTY,0.381,"Nitrogen, Kjeldahl, total (as N)",9.3,0.3,0.777061155,100,0,434,0,-424.7,3.162,0.102,7.1
10/31/17,VAN040076,RIVANNA WATER & SEWER AUTHORITY MOORES CREEK WWTP,CHARLOTTESVILLE,VA,22902-9016,CHARLOTTESVILLE,,"Nitrogen, Kjeldahl, total (as N)",1107.40773,35.72283,1.1,100,0,0,0,,265.98,8.58,
10/31/17,VAN040076,RIVANNA WATER & SEWER AUTHORITY MOORES CREEK WWTP,CHARLOTTESVILLE,VA,22902-9016,CHARLOTTESVILLE,,"Nitrogen, total (as N)",4943.065413,159.453723,4.91,100,0,0,0,,265.98,8.58,
10/31/17,VAN040076,RIVANNA WATER & SEWER AUTHORITY MOORES CREEK WWTP,CHARLOTTESVILLE,VA,22902-9016,CHARLOTTESVILLE,,"Phosphorus, total (as P)",60.404058,1.948518,0.06,100,0,0,0,,265.98,8.58,
10/31/17,VA0075981,COMFORT INN  MONTICELLO STP,CHARLOTTESVILLE,VA,22911,ALBEMARLE COUNTY,0.04,"Solids, total suspended",1.86,0.06,2.264578222,100,0,139.5,0,-137.64,0.217,0.007,7.8
10/31/17,VA0086584,GLENMORE STP,CHARLOTTESVILLE,VA,22902,ALBEMARLE COUNTY,0.381,"Solids, total suspended",31,1,2.590203849,100,0,1333,0,-1302,3.162,0.102,7.1
10/31/17,VA0025518,RIVANNA WATER & SEWER AUTHORITY MOORES CREEK WWTP,CHARLOTTESVILLE,VA,22902-9016,CHARLOTTESVILLE,15,"Solids, total suspended",,,,100,0,37200,0,,266.6,8.6,7.3
10/31/17,VA0092720,RYDER ENTERPRISES WWTP,CHARLOTTESVILLE,VA,22911,ALBEMARLE ,0.015,"Solids, total suspended",,,0,100,0,52.7,0,,0,0,
11/30/17,VA0075981,COMFORT INN  MONTICELLO STP,CHARLOTTESVILLE,VA,22911,ALBEMARLE COUNTY,0.04,"BOD, carbonaceous, 05 day, 20 C",1.2,0.04,2.113606341,100,0,69,0,-67.8,0.15,0.005,
11/30/17,VA0086584,GLENMORE STP,CHARLOTTESVILLE,VA,22902,ALBEMARLE COUNTY,0.381,"BOD, carbonaceous, 05 day, 20 C",12,0.4,0.866232107,100,0,660,0,-648,3.66,0.122,6.9
11/30/17,VA0025518,RIVANNA WATER & SEWER AUTHORITY MOORES CREEK WWTP,CHARLOTTESVILLE,VA,22902-9016,CHARLOTTESVILLE,15,"BOD, carbonaceous, 05 day, 20 C",,,,100,0,17100,0,,246,8.2,7.2
11/30/17,VA0092720,RYDER ENTERPRISES WWTP,CHARLOTTESVILLE,VA,22911,ALBEMARLE ,0.015,"BOD, carbonaceous, 05 day, 20 C",,,0,100,0,17.1,0,,0,0,
11/30/17,VA0075981,COMFORT INN  MONTICELLO STP,CHARLOTTESVILLE,VA,22911,ALBEMARLE COUNTY,0.04,"Chlorine, total residual",,,,100,0,0.004542,0,,0.15,0.005,7.9
11/30/17,VA0076244,STONE-ROBINSON ELEMENTARY,CHARLOTTESVILLE,VA,22901,ALBEMARLE,0.007,"Chlorine, total residual",0.27252,0.009084,1.2,100,0,0.4542,0,-0.18168,0.06,0.002,7
11/30/17,VA0075981,COMFORT INN  MONTICELLO STP,CHARLOTTESVILLE,VA,22911,ALBEMARLE COUNTY,0.04,E. coli,1.1355,0.03785,2,100,0,71.5365,0,-70.401,0.15,0.005,7.9
11/30/17,VA0086584,GLENMORE STP,CHARLOTTESVILLE,VA,22902,ALBEMARLE COUNTY,0.381,E. coli,41.5593,1.38531,3,100,0,1745.4906,0,-1703.9313,3.66,0.122,6.9
11/30/17,VA0025518,RIVANNA WATER & SEWER AUTHORITY MOORES CREEK WWTP,CHARLOTTESVILLE,VA,22902-9016,CHARLOTTESVILLE,15,E. coli,931.11,31.037,1,100,0,117319.86,0,-116388.75,246,8.2,7.2
11/30/17,VA0092720,RYDER ENTERPRISES WWTP,CHARLOTTESVILLE,VA,22911,ALBEMARLE ,0.015,E. coli,,,,100,0,0,0,,0,0,
11/30/17,VAN040076,RIVANNA WATER & SEWER AUTHORITY MOORES CREEK WWTP,CHARLOTTESVILLE,VA,22902-9016,CHARLOTTESVILLE,,Nitrite plus nitrate total 1 det. (as N),1521.43374,50.714458,1.64,100,0,0,0,,245.1,8.17,
11/30/17,VA0075981,COMFORT INN  MONTICELLO STP,CHARLOTTESVILLE,VA,22911,ALBEMARLE COUNTY,0.04,"Nitrogen, ammonia total (as N)",,,,100,0,2.38455,0,,0.15,0.005,
11/30/17,VA0025518,RIVANNA WATER & SEWER AUTHORITY MOORES CREEK WWTP,CHARLOTTESVILLE,VA,22902-9016,CHARLOTTESVILLE,15,"Nitrogen, ammonia total (as N)",93.111,3.1037,0.1,100,0,2048.442,0,-1955.331,246,8.2,
11/30/17,VA0092720,RYDER ENTERPRISES WWTP,CHARLOTTESVILLE,VA,22911,ALBEMARLE ,0.015,"Nitrogen, ammonia total (as N)",,,,100,0,0,0,,0,0,
11/30/17,VA0086584,GLENMORE STP,CHARLOTTESVILLE,VA,22902,ALBEMARLE COUNTY,0.381,"Nitrogen, Kjeldahl, total (as N)",30,1,2.165580267,100,0,420,0,-390,3.66,0.122,6.9
11/30/17,VAN040076,RIVANNA WATER & SEWER AUTHORITY MOORES CREEK WWTP,CHARLOTTESVILLE,VA,22902-9016,CHARLOTTESVILLE,,"Nitrogen, Kjeldahl, total (as N)",1873.96107,62.465369,2.02,100,0,0,0,,245.1,8.17,
11/30/17,VAN040076,RIVANNA WATER & SEWER AUTHORITY MOORES CREEK WWTP,CHARLOTTESVILLE,VA,22902-9016,CHARLOTTESVILLE,,"Nitrogen, total (as N)",3386.117775,112.8705925,3.65,100,0,0,0,,245.1,8.17,
11/30/17,VAN040076,RIVANNA WATER & SEWER AUTHORITY MOORES CREEK WWTP,CHARLOTTESVILLE,VA,22902-9016,CHARLOTTESVILLE,,"Phosphorus, total (as P)",83.493315,2.7831105,0.09,100,0,0,0,,245.1,8.17,
11/30/17,VA0075981,COMFORT INN  MONTICELLO STP,CHARLOTTESVILLE,VA,22911,ALBEMARLE COUNTY,0.04,"Solids, total suspended",1.8,0.06,3.170409511,100,0,135,0,-133.2,0.15,0.005,7.9
11/30/17,VA0086584,GLENMORE STP,CHARLOTTESVILLE,VA,22902,ALBEMARLE COUNTY,0.381,"Solids, total suspended",30,1,2.165580267,100,0,1290,0,-1260,3.66,0.122,6.9
11/30/17,VA0025518,RIVANNA WATER & SEWER AUTHORITY MOORES CREEK WWTP,CHARLOTTESVILLE,VA,22902-9016,CHARLOTTESVILLE,15,"Solids, total suspended",750,25,0.805490221,100,0,36000,0,-35250,246,8.2,7.2
11/30/17,VA0092720,RYDER ENTERPRISES WWTP,CHARLOTTESVILLE,VA,22911,ALBEMARLE ,0.015,"Solids, total suspended",,,0,100,0,51,0,,0,0,
12/31/17,VAG408447,ECKFORD JASON RESIDENCE,CHARLOTTESVILLE,VA,22903,ALBEMARLE COUNTY,,"BOD, 5-day, 20 deg. C",,,,100,0,0,0,,0,0,
12/31/17,VAG408479,FADELEY THOMAS J RESIDENCE,CHARLOTTESVILLE,VA,22911,ALBEMARLE COUNTY,,"BOD, 5-day, 20 deg. C",,,,100,0,0,0,,0,0,
12/31/17,VAG408448,GODFREY GREGORY AND SALLY RESIDENCE,CHARLOTTESVILLE,VA,22902,ALBEMARLE COUNTY,,"BOD, 5-day, 20 deg. C",,,,100,0,0,0,,0,0,
12/31/17,VAG408417,KNIGHT ROBERT AND JESSICA RESIDENCE,CHARLOTTESVILLE,VA,22911,ALBEMARLE COUNTY,,"BOD, 5-day, 20 deg. C",,,,100,0,0,0,,0,0,
12/31/17,VAG408435,LOFLIN LAURA RESIDENCE,CHARLOTTESVILLE,VA,22903,ALBEMARLE COUNTY,,"BOD, 5-day, 20 deg. C",,,,100,0,0,0,,0,0,
12/31/17,VAG408498,MARCUS ELIZABETH RESIDENCE,CHARLOTTESVILLE,VA,22903,ALBEMARLE COUNTY,,"BOD, 5-day, 20 deg. C",,,,100,0,0,0,,0,0,
12/31/17,VA0075981,COMFORT INN  MONTICELLO STP,CHARLOTTESVILLE,VA,22911,ALBEMARLE COUNTY,0.04,"BOD, carbonaceous, 05 day, 20 C",1.55,0.05,3.302509908,100,0,117.8,0,-116.25,0.124,0.004,
12/31/17,VA0086584,GLENMORE STP,CHARLOTTESVILLE,VA,22902,ALBEMARLE COUNTY,0.381,"BOD, carbonaceous, 05 day, 20 C",18.6,0.6,1.321003963,100,0,682,0,-663.4,3.72,0.12,6.9
12/31/17,VA0025518,RIVANNA WATER & SEWER AUTHORITY MOORES CREEK WWTP,CHARLOTTESVILLE,VA,22902-9016,CHARLOTTESVILLE,15,"BOD, carbonaceous, 05 day, 20 C",,,,100,0,17670,0,,226.3,7.3,7.2
12/31/17,VA0092720,RYDER ENTERPRISES WWTP,CHARLOTTESVILLE,VA,22911,ALBEMARLE ,0.015,"BOD, carbonaceous, 05 day, 20 C",,,0,100,0,30.07,0,,0,0,
12/31/17,VA0076244,STONE-ROBINSON ELEMENTARY,CHARLOTTESVILLE,VA,22901,ALBEMARLE,0.007,"BOD, carbonaceous, 05 day, 20 C",,,,100,0,121.44,0,,0.062,0.002,
12/31/17,VA0075981,COMFORT INN  MONTICELLO STP,CHARLOTTESVILLE,VA,22911,ALBEMARLE COUNTY,0.04,"Chlorine, total residual",,,,100,0,0.00375472,0,,0.124,0.004,7.9
12/31/17,VA0076244,STONE-ROBINSON ELEMENTARY,CHARLOTTESVILLE,VA,22901,ALBEMARLE,0.007,"Chlorine, total residual",0.305071,0.009841,1.3,100,0,0.422406,0,-0.117335,0.062,0.002,7.3
12/31/17,VA0075981,COMFORT INN  MONTICELLO STP,CHARLOTTESVILLE,VA,22911,ALBEMARLE COUNTY,0.04,E. coli,2.81604,0.09084,6,100,0,59.13684,0,-56.3208,0.124,0.004,7.9
12/31/17,VAG408447,ECKFORD JASON RESIDENCE,CHARLOTTESVILLE,VA,22903,ALBEMARLE COUNTY,,E. coli,,,,100,0,0,0,,0,0,
12/31/17,VAG408479,FADELEY THOMAS J RESIDENCE,CHARLOTTESVILLE,VA,22911,ALBEMARLE COUNTY,,E. coli,,,,100,0,0,0,,0,0,
12/31/17,VA0086584,GLENMORE STP,CHARLOTTESVILLE,VA,22902,ALBEMARLE COUNTY,0.381,E. coli,70.401,2.271,5,100,0,1774.1052,0,-1703.7042,3.72,0.12,6.9
12/31/17,VAG408448,GODFREY GREGORY AND SALLY RESIDENCE,CHARLOTTESVILLE,VA,22902,ALBEMARLE COUNTY,,E. coli,,,,100,0,0,0,,0,0,
12/31/17,VAG408417,KNIGHT ROBERT AND JESSICA RESIDENCE,CHARLOTTESVILLE,VA,22911,ALBEMARLE COUNTY,,E. coli,,,,100,0,0,0,,0,0,
12/31/17,VAG408435,LOFLIN LAURA RESIDENCE,CHARLOTTESVILLE,VA,22903,ALBEMARLE COUNTY,,E. coli,,,,100,0,0,0,,0,0,
12/31/17,VAG408498,MARCUS ELIZABETH RESIDENCE,CHARLOTTESVILLE,VA,22903,ALBEMARLE COUNTY,,E. coli,,,,100,0,0,0,,0,0,
12/31/17,VA0025518,RIVANNA WATER & SEWER AUTHORITY MOORES CREEK WWTP,CHARLOTTESVILLE,VA,22902-9016,CHARLOTTESVILLE,15,E. coli,2569.6365,82.8915,3,100,0,107924.733,0,-105355.0965,226.3,7.3,7.2
12/31/17,VA0092720,RYDER ENTERPRISES WWTP,CHARLOTTESVILLE,VA,22911,ALBEMARLE ,0.015,E. coli,,,,100,0,0,0,,0,0,
12/31/17,VA0076244,STONE-ROBINSON ELEMENTARY,CHARLOTTESVILLE,VA,22901,ALBEMARLE,0.007,E. coli,,,,100,0,348.1443,0,,0.062,0.002,
12/31/17,VA0086584,GLENMORE STP,CHARLOTTESVILLE,VA,22902,ALBEMARLE COUNTY,0.381,Nitrite plus nitrate total 1 det. (as N),364.7226,0.99924,2.2,100,0,0,0,,3.72,0.12,
12/31/17,VAN040076,RIVANNA WATER & SEWER AUTHORITY MOORES CREEK WWTP,CHARLOTTESVILLE,VA,22902-9016,CHARLOTTESVILLE,,Nitrite plus nitrate total 1 det. (as N),2081.405565,67.142115,2.43,100,0,0,0,,226.3,7.3,
12/31/17,VA0075981,COMFORT INN  MONTICELLO STP,CHARLOTTESVILLE,VA,22911,ALBEMARLE COUNTY,0.04,"Nitrogen, ammonia total (as N)",,,,100,0,3.98939,0,,0.124,0.004,
12/31/17,VA0025518,RIVANNA WATER & SEWER AUTHORITY MOORES CREEK WWTP,CHARLOTTESVILLE,VA,22902-9016,CHARLOTTESVILLE,15,"Nitrogen, ammonia total (as N)",68.52364,2.21044,0.08,100,0,5995.8185,0,-5927.29486,226.3,7.3,
12/31/17,VA0092720,RYDER ENTERPRISES WWTP,CHARLOTTESVILLE,VA,22911,ALBEMARLE ,0.015,"Nitrogen, ammonia total (as N)",,,,100,0,0,0,,0,0,
12/31/17,VA0086584,GLENMORE STP,CHARLOTTESVILLE,VA,22902,ALBEMARLE COUNTY,0.381,"Nitrogen, Kjeldahl, total (as N)",21.7,0.7,1.54117129,100,0,434,0,-412.3,3.72,0.12,6.9
12/31/17,VAN040076,RIVANNA WATER & SEWER AUTHORITY MOORES CREEK WWTP,CHARLOTTESVILLE,VA,22902-9016,CHARLOTTESVILLE,,"Nitrogen, Kjeldahl, total (as N)",1413.300075,45.590325,1.65,100,0,0,0,,226.3,7.3,
